2025-08-23 01:47:08,777 | DEBUG   | scraper.output_formatter | Output formatter initialized (verbose=True)
2025-08-23 01:47:08,778 | INFO    | scraper.cli          | Email scraper starting
2025-08-23 01:47:08,778 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-23 01:47:08,778 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-23 01:47:08,778 | INFO    | scraper.cli          | Workers: 16
2025-08-23 01:47:08,778 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-23 01:47:08,778 | INFO    | scraper.cli          | Max pages: 50
2025-08-23 01:47:08,793 | INFO    | scraper.cli          | Process PDFs: False
2025-08-23 01:47:08,793 | INFO    | scraper.cli          | Save domain only: False
2025-08-23 01:47:08,793 | INFO    | scraper.config       | Updated max workers to 16
2025-08-23 01:47:08,980 | INFO    | scraper.cli          | Loaded 8 companies from test_input.xlsx
2025-08-23 01:47:09,193 | INFO    | scraper.regex_cache  | Precompiling 11 regex patterns
2025-08-23 01:47:09,194 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: (?i)(?<![A-Z0-9._%+-])[A-Z0-9._%+-]+@(?:[A-Z0-9-]+ (0.710ms)
2025-08-23 01:47:09,194 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'email_basic'
2025-08-23 01:47:09,195 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: mailto: (0.046ms)
2025-08-23 01:47:09,195 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'mailto'
2025-08-23 01:47:09,195 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: 
            (?P<user>[A-Za-z0-9._%+-]+)           (0.506ms)
2025-08-23 01:47:09,195 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'obfuscated_email'
2025-08-23 01:47:09,196 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: noreply@ (0.046ms)
2025-08-23 01:47:09,196 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'noreply'
2025-08-23 01:47:09,196 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: donotreply@ (0.044ms)
2025-08-23 01:47:09,196 | DEBUG   | scraper.regex_cache  | Precompiled pattern 'donotreply'
