2025-08-22 10:29:32,507 | INFO    | scraper.cli          | Email scraper starting
2025-08-22 10:29:32,508 | INFO    | scraper.cli          | Input file: test_input.xlsx
2025-08-22 10:29:32,508 | INFO    | scraper.cli          | Output file: results.xlsx
2025-08-22 10:29:32,508 | INFO    | scraper.cli          | Workers: 16
2025-08-22 10:29:32,509 | INFO    | scraper.cli          | Domain threshold: 65
2025-08-22 10:29:32,509 | INFO    | scraper.cli          | Max pages: 30
2025-08-22 10:29:32,509 | INFO    | scraper.cli          | Process PDFs: False
2025-08-22 10:29:32,509 | INFO    | scraper.cli          | Save domain only: False
2025-08-22 10:29:32,689 | INFO    | scraper.cli          | Loaded 9 companies from test_input.xlsx
2025-08-22 10:29:32,689 | INFO    | scraper.orchestrator | ▶ Processing company: walter schmidt chemie gmbh
2025-08-22 10:29:32,690 | INFO    | scraper.orchestrator | ▶ Processing company: henan xinlianxin fertilizer co.
2025-08-22 10:29:32,692 | INFO    | scraper.orchestrator | ▶ Processing company: mitsui toatsu chemicals  inc.
2025-08-22 10:29:32,693 | INFO    | scraper.orchestrator | ▶ Processing company: bluetec haman co. ltd.
2025-08-22 10:29:32,693 | INFO    | scraper.orchestrator | ▶ Processing company: daf trucks n.v.
2025-08-22 10:29:32,693 | INFO    | scraper.orchestrator | ▶ Processing company: petrol rete s.r.l.
2025-08-22 10:29:32,694 | INFO    | scraper.orchestrator | ▶ Processing company: euro dam jas doo
2025-08-22 10:29:32,694 | INFO    | scraper.orchestrator | ▶ Processing company: Synsol
2025-08-22 10:29:32,695 | INFO    | scraper.orchestrator | ▶ Processing company: speedy fuels
2025-08-22 10:29:33,368 | INFO    | scraper.orchestrator | ✓ Found domain: walter-schmidt-chemie.de (score: 89)
2025-08-22 10:29:33,644 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,645 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,645 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,645 | ERROR   | scraper.google_search | Unexpected error in Google search: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,645 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,645 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,646 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,646 | ERROR   | scraper.google_search | Search failed with fallback: [SSL: WRONG_VERSION_NUMBER] wrong version number (_ssl.c:2648)
2025-08-22 10:29:33,646 | WARNING | scraper.orchestrator | No Google search results for: mitsui toatsu chemicals  inc.
2025-08-22 10:29:33,646 | WARNING | scraper.orchestrator | No Google search results for: speedy fuels
2025-08-22 10:29:33,646 | WARNING | scraper.orchestrator | No Google search results for: euro dam jas doo
2025-08-22 10:29:33,647 | WARNING | scraper.orchestrator | No Google search results for: petrol rete s.r.l.
2025-08-22 10:29:33,945 | INFO    | scraper.orchestrator | ✓ Found domain: daf.com (score: 100)
2025-08-22 10:29:33,971 | INFO    | scraper.orchestrator | ✓ Found domain: worldfertilizer.com (score: 80)
2025-08-22 10:29:34,238 | INFO    | scraper.http         | HTTP GET https://worldfertilizer.com → 404
2025-08-22 10:29:34,238 | INFO    | scraper.http         | Retrying with www-prefix: https://www.worldfertilizer.com
2025-08-22 10:29:34,457 | INFO    | scraper.http         | HTTP GET https://daf.com → 200
2025-08-22 10:29:34,511 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/sites-landing (def from text)
2025-08-22 10:29:34,593 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/sites-landing
2025-08-22 10:29:35,567 | INFO    | scraper.email_extractor |   1 emails on https://www.worldfertilizer.com/ (def from text)
2025-08-22 10:29:35,579 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://www.worldfertilizer.com/
2025-08-22 10:29:35,621 | INFO    | scraper.http         | HTTP HEAD https://www.worldfertilizer.com/sitemap.xml → 200
2025-08-22 10:29:35,699 | INFO    | scraper.http         | HTTP GET https://www.worldfertilizer.com/sitemap.xml → 200
2025-08-22 10:29:35,699 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://www.worldfertilizer.com/sitemap.xml (0.12s)
2025-08-22 10:29:35,700 | WARNING | scraper.sitemap      | Error parsing https://www.worldfertilizer.com/sitemap.xml – XML parse failed: Couldn't find a tree builder with the features you requested: xml. Do you need to install a parser library?
2025-08-22 10:29:35,700 | INFO    | scraper.orchestrator | Used sitemap for worldfertilizer.com
2025-08-22 10:29:35,701 | INFO    | scraper.orchestrator | ✓ Found 1 emails for henan xinlianxin fertilizer co.
2025-08-22 10:29:36,798 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/sites-landing (def from text)
2025-08-22 10:29:36,844 | INFO    | scraper.http         | HTTP HEAD https://www.daf.com/sitemap.xml → 200
2025-08-22 10:29:36,862 | INFO    | scraper.http         | HTTP GET https://www.daf.com/sitemap.xml → 200
2025-08-22 10:29:36,863 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://www.daf.com/sitemap.xml (0.04s)
2025-08-22 10:29:36,863 | WARNING | scraper.sitemap      | Error parsing https://www.daf.com/sitemap.xml – XML parse failed: Couldn't find a tree builder with the features you requested: xml. Do you need to install a parser library?
2025-08-22 10:29:36,864 | INFO    | scraper.orchestrator | Used sitemap for daf.com
2025-08-22 10:29:36,864 | INFO    | scraper.orchestrator | No emails found in sitemap, attempting fallback crawl: daf.com
2025-08-22 10:29:36,864 | INFO    | scraper.crawler      | Starting crawl of daf.com (limit: 30 pages, timeout: 60 seconds, workers: 4)
2025-08-22 10:29:37,025 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/sites-landing → 200
2025-08-22 10:29:37,061 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/sites-landing (def from text)
2025-08-22 10:29:38,504 | INFO    | scraper.http         | HTTP GET https://parts.daf.com/ → 200
2025-08-22 10:29:38,584 | INFO    | scraper.email_extractor |   0 emails on https://parts.daf.com/en-gb/ (def from text)
2025-08-22 10:29:38,594 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://parts.daf.com/en-gb/
2025-08-22 10:29:41,486 | INFO    | scraper.email_extractor |   0 emails on https://parts.daf.com/en-gb/ (def from text)
2025-08-22 10:29:46,941 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/news-and-media → 200
2025-08-22 10:29:46,981 | INFO    | scraper.email_extractor |   1 emails on https://www.daf.com/en/news-and-media (def from text)
2025-08-22 10:29:46,982 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://www.daf.com/en/news-and-media
2025-08-22 10:29:47,556 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/suppliers → 200
2025-08-22 10:29:47,589 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/suppliers (def from text)
2025-08-22 10:29:47,620 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/suppliers
2025-08-22 10:29:49,703 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/suppliers (def from text)
2025-08-22 10:29:50,627 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/working-at-daf → 200
2025-08-22 10:29:50,679 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/working-at-daf (def from text)
2025-08-22 10:29:50,717 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/working-at-daf
2025-08-22 10:29:52,885 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/working-at-daf (def from text)
2025-08-22 10:29:54,314 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en → 200
2025-08-22 10:29:54,361 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en (def from text)
2025-08-22 10:29:54,408 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:29:54,408 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en
2025-08-22 10:29:56,733 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en (def from text)
2025-08-22 10:29:56,764 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:29:57,838 | INFO    | scraper.http         | HTTP GET https://www.daf.com/nl-nl → 200
2025-08-22 10:29:57,887 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/nl-nl (def from text)
2025-08-22 10:29:57,924 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:29:57,924 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/nl-nl
2025-08-22 10:30:00,598 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/nl-nl (def from text)
2025-08-22 10:30:00,634 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:30:03,445 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/dealer-locator-page → 200
2025-08-22 10:30:03,482 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/dealer-locator-page (def from text)
2025-08-22 10:30:03,515 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/dealer-locator-page
2025-08-22 10:30:10,218 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/dealer-locator-page (def from text)
2025-08-22 10:30:11,731 | INFO    | scraper.http         | HTTP GET https://www.daf.com.au → 200
2025-08-22 10:30:11,777 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com.au/ (def from text)
2025-08-22 10:30:11,820 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com.au/
2025-08-22 10:30:16,038 | INFO    | scraper.http         | HTTP GET https://walter-schmidt-chemie.de → 200
2025-08-22 10:30:16,050 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/ (def from text)
2025-08-22 10:30:16,064 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.walter-schmidt-chemie.de/
2025-08-22 10:30:16,842 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com.au/ (def from text)
2025-08-22 10:30:18,212 | INFO    | scraper.http         | HTTP GET https://www.daf.com.tw?MarketCode=TW → 200
2025-08-22 10:30:18,217 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com.tw/?MarketCode=TW (def from text)
2025-08-22 10:30:18,221 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com.tw/?MarketCode=TW
2025-08-22 10:30:18,714 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/ (def from text)
2025-08-22 10:30:20,026 | INFO    | scraper.http         | HTTP GET https://readytogo.daf.com/en → 200
2025-08-22 10:30:20,045 | INFO    | scraper.email_extractor |   0 emails on https://readytogo.daf.com/en (def from text)
2025-08-22 10:30:20,056 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://readytogo.daf.com/en
2025-08-22 10:30:22,147 | INFO    | scraper.email_extractor |   0 emails on https://readytogo.daf.com/en (def from text)
2025-08-22 10:30:22,362 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/driver-information/driver-manuals → 200
2025-08-22 10:30:22,402 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/driver-information/driver-manuals (def from text)
2025-08-22 10:30:22,437 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/driver-information/driver-manuals
2025-08-22 10:30:24,522 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/driver-information/driver-manuals (def from text)
2025-08-22 10:30:24,778 | INFO    | scraper.http         | HTTP GET https://rmi.daf.com → 200
2025-08-22 10:30:24,803 | INFO    | scraper.email_extractor |   0 emails on https://rmi.daf.com/en (def from text)
2025-08-22 10:30:24,824 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://rmi.daf.com/en
2025-08-22 10:30:26,982 | INFO    | scraper.email_extractor |   0 emails on https://rmi.daf.com/en (def from text)
2025-08-22 10:30:27,294 | INFO    | scraper.http         | HTTP GET https://pti.daf.com → 200
2025-08-22 10:30:27,312 | INFO    | scraper.email_extractor |   0 emails on https://pti.daf.com/ (def from text)
2025-08-22 10:30:27,327 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://pti.daf.com/
2025-08-22 10:30:29,292 | INFO    | scraper.email_extractor |   0 emails on https://pti.daf.com/ (def from text)
2025-08-22 10:30:29,499 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/about-daf → 200
2025-08-22 10:30:29,530 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/about-daf (def from text)
2025-08-22 10:30:29,557 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:30:29,557 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/about-daf
2025-08-22 10:30:31,608 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/about-daf (def from text)
2025-08-22 10:30:31,631 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:30:31,815 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/products-and-services → 200
2025-08-22 10:30:31,865 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/products-and-services (def from text)
2025-08-22 10:30:31,916 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:30:31,917 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/products-and-services
2025-08-22 10:30:33,545 | WARNING | scraper.google_search | Google search timed out on 'Synsol' (attempt 1/5), retrying in 1s
2025-08-22 10:30:33,545 | WARNING | scraper.google_search | Google search timed out on 'bluetec haman co. ltd.' (attempt 1/5), retrying in 1s
2025-08-22 10:30:34,373 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/products-and-services (def from text)
2025-08-22 10:30:34,419 | WARNING | scraper.email_extractor | Failed to clean '': invalid format (no single @)
2025-08-22 10:30:34,672 | INFO    | scraper.http         | HTTP GET https://www.daf.com/en/contact → 200
2025-08-22 10:30:34,728 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/contact (def from text)
2025-08-22 10:30:34,771 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.daf.com/en/contact
2025-08-22 10:30:35,220 | INFO    | scraper.orchestrator | ✓ Found domain: synsol.ch (score: 100)
2025-08-22 10:30:35,310 | INFO    | scraper.http         | HTTP GET https://synsol.ch → 200
2025-08-22 10:30:35,364 | INFO    | scraper.email_extractor |   1 emails on https://synsol.ch/ (def from text)
2025-08-22 10:30:35,365 | INFO    | scraper.hybrid_email_extractor | Static pass found 1 emails in https://synsol.ch/
2025-08-22 10:30:35,558 | INFO    | scraper.orchestrator | ✓ Found domain: bluetech00.gobizkorea.com (score: 88)
2025-08-22 10:30:35,972 | INFO    | scraper.http         | HTTP HEAD https://www.synsol.ch/sitemap.xml → 200
2025-08-22 10:30:36,020 | INFO    | scraper.http         | HTTP GET https://www.synsol.ch/sitemap.xml → 200
2025-08-22 10:30:36,021 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://www.synsol.ch/sitemap.xml (0.66s)
2025-08-22 10:30:36,021 | WARNING | scraper.sitemap      | Error parsing https://www.synsol.ch/sitemap.xml – XML parse failed: Couldn't find a tree builder with the features you requested: xml. Do you need to install a parser library?
2025-08-22 10:30:36,022 | INFO    | scraper.orchestrator | Used sitemap for synsol.ch
2025-08-22 10:30:36,022 | INFO    | scraper.orchestrator | ✓ Found 1 emails for Synsol
2025-08-22 10:30:36,964 | INFO    | scraper.email_extractor |   0 emails on https://www.daf.com/en/contact (def from text)
2025-08-22 10:30:37,033 | INFO    | scraper.crawler      | Crawl of daf.com completed: 17 pages fetched, 378 unique URLs seen, 1 emails, 60.2 seconds
2025-08-22 10:30:37,033 | INFO    | scraper.orchestrator | ✓ Found 1 emails for daf trucks n.v.
2025-08-22 10:31:04,611 | INFO    | scraper.http         | HTTP HEAD https://walter-schmidt-chemie.de/sitemap.xml → 200
2025-08-22 10:31:39,706 | INFO    | scraper.http         | Retrying with www-prefix: https://www.bluetech00.gobizkorea.com
2025-08-22 10:31:40,722 | WARNING | scraper.http         | www-prefix retry failed for https://www.bluetech00.gobizkorea.com: HTTPSConnectionPool(host='www.bluetech00.gobizkorea.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001B888E26E90>: Failed to resolve 'www.bluetech00.gobizkorea.com' ([Errno 11001] getaddrinfo failed)"))
2025-08-22 10:31:40,723 | INFO    | scraper.http         | Retrying with HTTP: http://bluetech00.gobizkorea.com
2025-08-22 10:31:51,114 | INFO    | scraper.http         | HTTP GET https://walter-schmidt-chemie.de/sitemap.xml → 200
2025-08-22 10:31:51,114 | INFO    | scraper.sitemap      | Found sitemap via standard filenames: https://walter-schmidt-chemie.de/sitemap.xml (92.39s)
2025-08-22 10:31:51,117 | WARNING | scraper.sitemap      | Error parsing https://walter-schmidt-chemie.de/sitemap.xml – XML parse failed: Couldn't find a tree builder with the features you requested: xml. Do you need to install a parser library?
2025-08-22 10:31:51,118 | INFO    | scraper.orchestrator | Used sitemap for walter-schmidt-chemie.de
2025-08-22 10:31:51,118 | INFO    | scraper.orchestrator | No emails found in sitemap, attempting fallback crawl: walter-schmidt-chemie.de
2025-08-22 10:31:51,118 | INFO    | scraper.crawler      | Starting crawl of walter-schmidt-chemie.de (limit: 30 pages, timeout: 60 seconds, workers: 4)
2025-08-22 10:31:51,397 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/ → 200
2025-08-22 10:31:51,411 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/ (def from text)
2025-08-22 10:31:51,690 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/en/ → 200
2025-08-22 10:31:51,700 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/en/ (def from text)
2025-08-22 10:31:51,712 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.walter-schmidt-chemie.de/en/
2025-08-22 10:31:53,780 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/en/ (def from text)
2025-08-22 10:31:54,570 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/index.html → 200
2025-08-22 10:31:54,583 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/ (def from text)
2025-08-22 10:31:55,701 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/unternehmen/ → 200
2025-08-22 10:31:55,712 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/unternehmensvorstellung.html (def from text)
2025-08-22 10:31:55,721 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.walter-schmidt-chemie.de/unternehmen/unternehmensvorstellung.html
2025-08-22 10:31:57,772 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/unternehmensvorstellung.html (def from text)
2025-08-22 10:31:58,019 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/unternehmen/unternehmensvorstellung.html → 200
2025-08-22 10:31:58,029 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/unternehmensvorstellung.html (def from text)
2025-08-22 10:31:58,364 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/unternehmen/standorte.html → 200
2025-08-22 10:31:58,375 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/standorte.html (def from text)
2025-08-22 10:31:58,383 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.walter-schmidt-chemie.de/unternehmen/standorte.html
2025-08-22 10:32:00,389 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/standorte.html (def from text)
2025-08-22 10:32:00,789 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/unternehmen/zertifizierungen/ → 200
2025-08-22 10:32:00,803 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/zertifizierungen/ (def from text)
2025-08-22 10:32:00,812 | INFO    | scraper.hybrid_email_extractor | JS fallback for https://www.walter-schmidt-chemie.de/unternehmen/zertifizierungen/
2025-08-22 10:32:02,882 | INFO    | scraper.email_extractor |   0 emails on https://www.walter-schmidt-chemie.de/unternehmen/zertifizierungen/ (def from text)
2025-08-22 10:32:03,867 | INFO    | scraper.http         | HTTP GET https://www.walter-schmidt-chemie.de/unternehmen/wir-arbeiten-mit.html → 200
